epoch,loss,val_loss
0,8.52443918120116e-06,8.503430763084907e-06
1,8.397967576456722e-06,8.442531907348894e-06
2,8.389295544475317e-06,8.456595423922408e-06
3,8.382502528547775e-06,8.457920557702892e-06
4,8.380528925044928e-06,8.446200808975846e-06
5,8.38038613437675e-06,8.448936569038779e-06
6,8.379955033888109e-06,8.443318620265927e-06
7,8.38001233205432e-06,8.448078006040305e-06
8,8.379706741834525e-06,8.449704182567075e-06
9,8.379743121622596e-06,8.447984328086022e-06
10,8.379761311516631e-06,8.448487278656103e-06
11,8.37952939036768e-06,8.451039320789278e-06
12,8.379445716855116e-06,8.451134817732964e-06
13,8.37932475405978e-06,8.441305908490904e-06
14,8.37868810776854e-06,8.435672498308122e-06
15,8.390701623284258e-06,8.445225830655545e-06
16,8.382276064367034e-06,8.441151294391602e-06
17,8.388511560042389e-06,8.461056495434605e-06
18,8.387777597818058e-06,8.454884664388373e-06
19,8.38550113257952e-06,8.46369130158564e-06
20,8.382018677366432e-06,8.44441274239216e-06
21,8.380847248190548e-06,8.44594615045935e-06
22,8.379897735721897e-06,8.445960702374578e-06
23,8.386389708903152e-06,8.455276656604838e-06
24,8.387813977606129e-06,8.451567737211008e-06
25,8.387863999814726e-06,8.454630915366579e-06
26,8.387856723857112e-06,8.450751010968816e-06
27,8.38794767332729e-06,8.456418981950264e-06
28,8.387884008698165e-06,8.449061169812921e-06
29,8.387760317418724e-06,8.451124813291244e-06
6
